iteration,cross_entropy_train,kld_train,coef_train
0,10.35,1.64,0.0
10,10.08,27.55,0.0
20,8.46,806.05,0.0
30,5.71,10856.68,0.0
40,3.81,43779.35,0.0
50,4.72,48831.14,0.0
60,3.49,86135.7,0.0
70,4.45,54914.42,0.0
80,4.98,46098.73,0.0
90,4.21,65964.19,0.0
100,3.06,93394.35,0.0
110,3.31,74254.51,0.0
120,3.0,92468.13,0.0
130,3.13,77959.61,0.0
140,2.93,86477.23,0.0
150,4.1,48759.0,0.0
160,3.77,63985.18,0.0
170,3.58,58838.96,0.0
180,3.11,79333.72,0.0
190,2.57,84813.67,0.0
200,1.96,130252.05,0.0
210,3.59,41381.59,0.0
220,3.2,53625.18,0.0
230,3.15,48087.8,0.0
240,3.21,45870.57,0.0
250,3.8,31536.46,0.0
260,2.34,79250.95,0.0
270,2.16,64099.65,0.0
280,3.14,35619.12,0.0
290,3.18,30405.45,0.0
300,3.71,23886.26,0.0
310,3.17,28368.29,0.0
320,2.93,27090.88,0.0
330,3.72,17166.54,0.0
340,2.88,24567.68,0.0
350,3.46,22354.72,0.0
360,4.12,12538.75,0.0
370,2.77,32244.51,0.0
380,2.19,42663.32,0.0
390,3.03,21418.07,0.0
400,3.64,15579.99,0.0
410,2.74,21295.36,0.0
420,2.91,18485.21,0.0
430,2.46,23116.27,0.0
440,3.86,11090.83,0.0
450,2.75,20051.29,0.0
460,3.13,17640.99,0.0
470,1.88,40425.76,0.0
480,2.33,28755.77,0.0
490,4.19,9210.81,0.0
500,2.29,20809.6,0.0
510,2.78,18539.56,0.0
520,2.69,18874.37,0.0
530,3.81,10016.77,0.0
540,3.1,16573.97,0.0
550,2.67,14481.96,0.0
560,2.69,13900.51,0.0
570,3.23,11522.65,0.0
580,2.39,22493.54,0.0
590,3.12,13391.55,0.0
600,2.59,19729.55,0.0
610,2.55,17894.45,0.0
620,3.21,11808.83,0.0
630,3.27,11993.14,0.0
640,2.4,18315.28,0.0
650,3.27,10771.61,0.0
660,3.05,11761.18,0.0
670,2.62,15772.63,0.0
680,3.07,12998.03,0.0
690,2.51,15121.19,0.0
700,2.53,16502.59,0.0
710,3.36,9984.43,0.0
720,2.33,16293.55,0.0
730,2.38,15302.48,0.0
740,2.4,16332.7,0.0
750,2.81,12981.83,0.0
760,2.59,13436.97,0.0
770,3.08,10132.13,0.0
780,3.09,9215.74,0.0
790,3.43,8217.34,0.0
800,3.11,10900.04,0.0
810,2.56,17098.91,0.0
820,2.57,15537.52,0.0
830,2.89,9293.44,0.0
840,2.98,13221.46,0.0
850,2.49,12908.23,0.0
860,2.81,10936.39,0.0
870,2.71,12303.33,0.0
880,2.47,12860.05,0.0
890,3.03,9261.14,0.0
900,2.52,15188.26,0.0
910,2.79,12676.35,0.0
920,2.74,14099.82,0.0
930,2.76,9758.41,0.0
940,2.65,11580.38,0.0
950,2.52,15332.46,0.0
960,2.93,9704.96,0.0
970,3.15,8608.34,0.0
980,3.29,8736.02,0.0
990,3.22,10184.29,0.0
1000,2.74,11282.11,0.0
1010,2.66,11123.64,0.0
1020,2.89,10637.85,0.0
1030,2.36,11812.05,0.0
1040,2.07,16465.54,0.0
1050,3.67,7635.65,0.0
1060,2.62,9613.38,0.0
1070,2.93,10779.92,0.0
1080,3.34,7926.29,0.0
1090,3.29,7928.54,0.0
1100,2.79,9918.65,0.0
1110,2.91,12847.44,0.0
1120,1.65,21583.44,0.0
1130,2.7,8407.73,0.0
1140,3.38,6859.94,0.0
1150,3.9,6616.39,0.0
1160,3.17,7910.63,0.0
1170,2.62,8982.64,0.0
1180,2.63,9279.71,0.0
1190,2.37,11418.04,0.0
1200,2.29,12164.22,0.0
1210,3.11,7612.84,0.0
1220,3.99,6798.35,0.0
1230,2.16,11326.14,0.0
1240,2.31,12348.2,0.0
1250,3.03,7386.4,0.0
1260,2.66,9039.31,0.0
1270,2.13,16638.3,0.0
1280,3.21,7019.91,0.0
1290,3.84,5062.9,0.0
1300,2.47,10533.01,0.0
1310,2.85,10603.87,0.0
1320,2.41,10092.63,0.0
1330,3.05,8427.97,0.0
1340,2.54,8917.07,0.0
1350,2.5,8045.19,0.0
1360,3.0,9124.27,0.0
1370,3.29,8388.05,0.0
1380,3.2,7491.11,0.0
1390,2.79,7726.33,0.0
1400,3.1,6228.71,0.0
1410,3.04,8345.72,0.0
1420,2.21,10283.0,0.0
1430,3.13,6344.79,0.0
1440,2.78,9893.06,0.0
1450,3.2,7158.59,0.0
1460,2.35,11867.31,0.0
1470,3.22,5632.4,0.0
1480,2.94,6633.88,0.0
1490,2.09,13651.52,0.0
1500,3.07,5994.99,0.0
1510,2.81,8484.69,0.0
1520,2.78,8044.88,0.0
1530,2.73,9717.19,0.0
1540,3.01,7889.74,0.0
1550,3.62,5661.36,0.0
1560,2.2,11353.84,0.0
1570,3.1,6632.51,0.0
1580,2.92,8988.04,0.0
1590,3.0,9307.25,0.0
1600,3.05,7237.45,0.0
1610,2.98,7140.63,0.0
1620,3.06,7764.52,0.0
1630,2.95,7281.51,0.0
1640,2.14,13135.39,0.0
1650,2.87,8603.02,0.0
1660,2.73,8249.62,0.0
1670,2.09,11289.86,0.0
1680,2.68,11613.67,0.0
1690,3.13,7036.18,0.0
1700,2.86,9430.23,0.0
1710,3.12,7079.91,0.0
1720,3.2,5689.38,0.0
1730,2.42,9288.65,0.0
1740,2.68,9238.44,0.0
1750,2.43,11839.76,0.0
1760,2.37,11283.96,0.0
1770,2.93,6945.8,0.0
1780,2.62,10536.18,0.0
1790,3.28,6684.05,0.0
1800,3.22,7458.76,0.0
1810,3.11,7116.5,0.0
1820,2.39,13967.15,0.0
1830,2.27,9597.71,0.0
1840,2.22,10394.43,0.0
1850,2.84,6709.57,0.0
1860,3.05,7277.11,0.0
1870,3.04,6403.05,0.0
1880,1.83,15744.83,0.0
1890,2.23,15155.45,0.0
1900,2.66,9512.68,0.0
1910,3.15,6789.56,0.0
1920,3.18,5854.03,0.0
1930,2.19,10538.85,0.0
1940,2.15,12077.8,0.0
1950,3.13,7627.63,0.0
1960,3.15,6814.93,0.0
1970,3.04,6236.76,0.0
1980,2.32,10974.0,0.0
1990,2.17,10734.38,0.0
2000,3.04,6426.14,0.0
2010,2.32,10981.44,0.0
2020,2.18,11445.38,0.0
2030,2.55,10754.2,0.0
2040,3.2,6839.58,0.0
2050,2.23,10913.6,0.0
2060,2.65,10126.66,0.0
2070,3.04,6529.32,0.0
2080,2.16,11459.39,0.0
2090,2.69,6974.95,0.0
2100,3.01,8685.7,0.0
2110,1.59,16652.68,0.0
2120,2.6,10055.91,0.0
2130,2.98,8737.92,0.0
2140,2.19,12712.15,0.0
2150,2.37,11089.85,0.0
2160,2.46,9238.08,0.0
2170,2.94,9714.71,0.0
2180,3.04,6408.2,0.0
2190,2.45,8579.4,0.0
2200,3.22,6325.17,0.0
2210,2.97,7797.79,0.0
2220,2.56,9039.68,0.0
2230,3.02,7617.27,0.0
2240,2.64,6120.19,0.0
2250,2.35,10349.56,0.0
2260,3.4,6523.55,0.0
2270,2.23,13078.84,0.0
2280,2.42,8843.85,0.0
2290,3.48,6622.48,0.0
2300,3.92,4815.24,0.0
2310,2.21,11810.99,0.0
2320,2.63,8745.76,0.0
2330,3.18,8425.57,0.0
2340,2.01,10093.93,0.0
2350,2.61,10177.7,0.0
2360,2.07,13418.76,0.0
2370,2.62,7222.42,0.0
2380,2.33,8037.02,0.0
2390,2.19,12687.73,0.0
2400,2.81,7312.32,0.0
2410,2.49,8283.39,0.0
2420,2.4,9437.75,0.0
